vendorId,vendorName,primaryTower,secondaryTowers,hqCountry,ownership,revenueUsd,employeeCount,deliveryCenterCount,deliveryLocations,certifications,keyClients,serviceCapabilities,competitivePosition,strengths,weaknesses,redFlags,pricingModel,financialHealthScore,batch
VND-0331,Arize AI,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0332,Arriello,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0333,Arrive,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0334,Arrive Logistics,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0335,Arrow Medical,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0336,Arthur,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,Cool Vendor,,,,,,
VND-0337,Aruba (HPE),IT,,US,Subsidiary of HPE,$3B (Aruba),7717,15,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;FedRAMP;PCI-DSS,Enterprises; Fortune 500; government; healthcare; education; global brands,IT,Strong in wireless networking; edge security innovation; 500+ acquisition benefit; Juniper integration starting,Juniper integration challenges; networking market saturation; legacy wireless portfolio drag; price competition,HPE strategic integration risk; large acquisition needs digestion; wireless market commodity pressure,Per-device licensing; subscription for security services; per-user for WiFi access,B - HPE subsidiary with integration execution risks,,IT-B
VND-0338,Aryaka,IT,,USA,PE-Backed,100M+,500,40,Global PoPs (NA/EMEA/APAC/China),ISO 27001; SOC 2 Type II; PCI-DSS; HIPAA,Cigna; Nvidia; Air China; 8x8,IT,Visionary in SD-WAN/SASE (Gartner),Integrated WAN/Security offering; Managed service model reduces complexity,Smaller scale vs. Cisco/VMware; Limited brand awareness outside networking,IPO delays; Competitive pressure from SASE giants,Subscription (OpEx); T-Shirt Sizing,B+,IT-D
VND-0339,Ask Sage,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0340,AskDataEntry,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0341,Aspire Scientific,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0342,Asplundh,EN,,USA,Private,$5.7-6.3B,33795-36000,International,NA; ANZ; APAC,,Electric utilities; telecoms; municipalities,EN,Vegetation management leader,Scale; diversification; decades of experience,Family ownership opacity; capital flexibility,Concentration in vegetation; regulatory scrutiny,Contract-based; project-based,A-,EN-A
VND-0343,Assa Abloy,FR,,Sweden,Public,14.4 Billion,61000,,Global,ISO 9001; ISO 14001,Airports; Hospitals; Commercial Buildings,FR,Global leader in access solutions (locks/doors),Huge installed base; Technology leadership (HID/Yale); Acquisitive growth,Exposure to construction market cycles,,Product Sales / Project,A,FR-B
VND-0344,Assa Abloy (HID),FR,,United States,Public (Sub),,,,Global,ISO 27001; FIPS 140-2,Govt; Enterprise Security,FR,Leader in trusted identity and access control tech,Industry standard for access cards/readers; High innovation,Component supply chain risks,,Hardware Sales / Software License,A,FR-B
VND-0345,AssetWorks,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0346,Astronomer,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,Strong Performer,,,,,,
VND-0347,Atlan,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0348,Atlas Industrial,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0349,Atlassian,IT,,Australia,Public (NASDAQ: TEAM),$5.22B (FY25); $4.4B (FY24),12157,Global,"NA, EMEA, APAC, LATAM",ISO 27001; SOC 2; FedRAMP (In Process); HIPAA (partial),"300,000+ customers; 84% Fortune 500",IT,Market leader: developer/team collaboration,Strong Cloud transition (31%); 300K customers; $1.4B FCF; enterprise expansion,Seat expansion deceleration; DevOps competition; CRO search,CRO search ongoing; growth deceleration guidance (16% FY25),Cloud SaaS; Data Center; on-prem licensing,A,IT-A
VND-0350,Atsuro Global,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,,,,,,,
VND-0351,Atwell,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0352,AuditBoard,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0353,Augury,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,Leader,,,,,,
VND-0354,AutoCruitment,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0355,Automation Anywhere,AI,,United States,PE-backed / SPAC (formerly private),$800000000-1300000000 (revenue varying by source),"3,475-5,000",20+,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, HIPAA, PCI-DSS, FedRAMP","1,000+ enterprise customers; Volkswagen; Whirlpool; TD Bank; AIG; Fortune 1000",AI,RPA leader; $6.8B+ valuation; 50% YoY growth (2022),999.5% customer renewal rate; 282% bookings expansion rate; Platform maturity; Cloud adoption 80%,Growth moderation from peak (640M ARR 2022); Commoditization pressure; RPA market saturation in mature enterprises,Cloud pivot may alienate on-prem customers; AI agent competition emerging,Per-robot licensing + employee licensing model; SaaS subscription; Professional services (5% of revenue),A,AI
VND-0356,Automation Solutions of America,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0357,Auxochromofours,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0358,Avaya,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Major Contender,,,,,,
VND-0359,Avercast,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0360,Averna,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0361,Avid (MediaCentral),ME,,USA,Public (now PE-owned by STG),413000000,1400-1500,6+,NA; EMEA; APAC; Australia; South America; Africa,,National/regional broadcasters; News networks; Sports networks; Enterprise media teams,ME,Tier-1 in editing/audio; strong but challenged in MAM,"Industry-standard tools (Media Composer, Pro Tools); Integrated MediaCentral newsroom/workflow platform; Large installed base with broadcasters",Legacy architecture vs cloud-native rivals; Competitive pressure from Adobe/Blackmagic; Some customer pushback on subscriptions,Acquired by STG (PE) – integration and cost‑cut risk,Subscription (SaaS) plus term/perpetual licenses; project-based implementation,B,ME-A
VND-0362,Avis Budget Group,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0363,Avison Young,FR,,Canada,Private,5.1 Billion (Est),5000,100,Global,,Investors; Occupiers,FR,Challenger global commercial real estate brokerage,Principal-led collaborative culture; Tech-forward (AVANT),Smaller scale than CBRE/JLL; Private capital constraints,,Commission / Fee,B,FR-B
VND-0364,Awesense,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0365,Axiom,PS,,US,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,"Law firms, Corporations",PS,Leader in managed legal services,"Legal staffing expertise, Alternative legal delivery model","Law firm competitive pressures, Commodity labor market, Limited strategic value-add beyond staffing",,,,PS-A
VND-0366,Axis Communications,FR,,Sweden,Subsidiary,1600000000,5200,50+,NA;EMEA;APAC;LATAM,Network Video,Enterprise Security;Retail;Transportation,FR,Video Surveillance Leader,Innovation;Access Control Integration,Canon Strategy Dependency,,Hardware + Licensing,A-,FR-A
VND-0367,Axle Logistics,SC,,USA,Independent,,501-1000,Multiple,NA (Continental US),,Automotive; Food & Beverage; Retail; Aerospace/Defense,SC,Strong Regional Player,Non-asset based; Flexible; Customer service focus; Technology-driven,Smaller scale; Proprietary systems; Limited brand awareness,Slower growth,Transaction-based,B,SC-C
VND-0368,AxleHire,SC,,USA,NEEDS_RESEARCH,,,Multiple,NA (Unknown),,,SC,Emerging,,,,,,SC-C
VND-0369,AxleHire/Jitsu,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0370,Aya Data,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0371,Azumo,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0372,BBK Worldwide,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0373,BESTMSLs,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0374,BGR Group,PS,,USA,Private,,,,"Washington DC, London, Austin, Atlanta",,"Government, corporations, NGOs, political parties",PS,Leading policy advocacy & advisory firm,"Bipartisan approach, government access, policy expertise, strategic advisory, 1991 foundation","Dependent on political relationships/cycles, regulatory/legislative focus narrow",Political relationship dependence creates volatility,Retainer/Project,A,PS-B
VND-0375,BMC,IT,,United States,PE-backed (KKR),$2.3B+; $2.1B (historical),6000-6500,40+,"NA, EMEA, APAC",ISO 27001; SOC 2; HIPAA (standard),80% Fortune 100; Fortune 500,IT,Leader: IT automation/operations,Deep enterprise relationships; comprehensive automation; $10B+ R&D lifetime; 650+ partners,Legacy complexity; PE ownership limits visibility; cloud-native competition,None significant; stable/profitable,Subscription; perpetual; tiered,A,IT-A
VND-0376,BMC Helix Discovery,IT,,US,PE-backed (KKR),$2B+ BMC,6000+ BMC,20,NA/EMEA/APAC/LATAM,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA,Global enterprises; Fortune 500; government; IT operations; service providers,IT,Strong ITAM/SAM market position; discovery capabilities; enterprise reach; 18 consecutive quarters ARR growth,Complex product ecosystem; customer confusion; mainframe legacy; expensive professional services dependency,Upcoming BMC split creates uncertainty; legacy product line overhaul; market awareness gap; PE-backed exit pressure,Per-device for ITAM; per-application for SAM; subscription SaaS,B - Strong but PE-backed split creates uncertainty,,IT-B
VND-0377,BNSF,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Leader,,,,,,
VND-0378,BT (British Telecom),IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Major Contender,,,,,,
VND-0379,Bain & Company,PS,MO,US,Independent/Private,$7000M,19000,67,NA/EMEA/APAC/LATAM,,"Fortune 500 companies, Private equity firms (25% of revenue), Growth market companies",PS,Leader in management consulting,"Results-focused culture, Strong private equity practice, Local office staffing model, Premium brand","Highly selective recruiting limits rapid scaling, Expensive engagement rates, Limited public sector experience",Slower organic growth vs. BCG/McKinsey post-COVID restructuring,"Engagement-based ($500K+ typical), Project-based retainers, FTE deployment (limited)",A,PS-A
VND-0380,Bain & Company,MO,IT,USA,Independent,6500000000,19000,60,NA/EMEA/APAC/LATAM,,,MO,Top 3 Strategy Consulting,Global reach; Elite talent; Strong client advocacy,Limited digital/tech transformation expertise vs. competitors; High cost structure,None identified,FTE,A,MO
VND-0381,Bakken & Baeck,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Major Contender,,,,,,
VND-0382,BambooHR,HR,,USA,Independent,"$237,800,000",1814,1,NA/EMEA,SOC 2 Type 2,34000+ customers (3M employees),HR,SMB Leader,Best-in-class SMB HRIS; Intuitive UI; Strong integrations; Cloud-native; Affordable,SMB-only focus; Limited enterprise capabilities; Payroll add-on only; Less global reach,SMB market saturation; Limited upmarket capability; Payroll limitations; Acquisition target risk,Per FTE (subscription),B+,HR
VND-0383,Bartlett Tree,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0384,Bartlett Tree Experts,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0385,Base64.ai,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0386,BayWa r.e.,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Major Contender,,,,,,
VND-0387,Beehive,PS,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,,,,,,,
VND-0388,Bell and Howell,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0389,Beltmann,FR,,United States,Private,100 Million,650,14,NEEDS_RESEARCH,ProMover; ISO 9001,Corporate Relocation Clients,FR,Large agent for North American Van Lines,Specialized in corporate relocation and logistics; National reach,Cyclicality of corporate moves; Low barrier competition,,Project / Weight / Distance,B,FR-B
VND-0390,Beltmann Integrated Logistics,FR,,United States,Private,,,14,NEEDS_RESEARCH,,Retailers; Hospitality; Healthcare,FR,Specialized logistics division of Beltmann,Expertise in FF\&E and asset management; Project management focus,Niche dependency,,Project / Service Fee,B,FR-B
VND-0391,Benchmark,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,Major Contender,,,,,,
VND-0392,Benchmark Electronics,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0393,BentoML,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0394,Better Stack,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0395,BetterCloud,IT,,US,Private/VC-backed,,,6,NA/EMEA/APAC,ISO 27001;SOC 2;FedRAMP;PCI-DSS;HIPAA,"2,500+ customers across 60 countries; mid-market to enterprise; SaaS-heavy organizations",IT,SaaS spend optimization focus; growing market; strong automation; user-friendly interface,Limited for larger orgs; niche focus vs full IT ops; pricing not cost-effective for all segments; market crowded,Per-user consumption model; tiered feature plans ($3-$10/user/month); volume discounts available,B - VC-backed with strong growth but path to scale unclear,,,IT-B
VND-0396,BetterUp,PS,,USA,Private,$214.6M,600-2794,Global,NA/EMEA/APAC/LATAM,,Fortune 500 companies (380+ enterprises),PS,Growing market position,"High user retention (95%), Hyper-personalized coaching, Proprietary algorithm",Coaching model limits scalability; Revenue growth declining,16% layoff Aug 2023; Declining YoY growth,Subscription-based (per user/session),B,PS-C
VND-0397,Bidgely,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,,,,,,,
VND-0398,BigStar Copywriting,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0399,Bioclinica,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0400,Biopac,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0401,Biotrial,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0402,BitCan,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Emerging,,,,,,
VND-0403,Blanchard,PS,,USA,Private,,~300,40+ countries,EMEA/NA/APAC/LATAM,,,PS,Established leader,"40+ years experience, Global presence, SLII framework",Limited public financial transparency,None detected,Project/training-based,,PS-C
VND-0404,BluEnt,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0405,Blue Ridge,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0406,Blue Yonder,SC,,USA,PE-backed (Panasonic),1400000000,8200,150+,NA/EMEA/APAC/LATAM,ISO 27001; SOC 2; Security Attestations,Retailer top 10; Cisco; Ford; Qualcomm,SC,Leader - Strong market position; AI-driven planning; Extensive partner network,Advanced AI/ML capabilities; Omnichannel integration; Global support network,Large scale adoption risk; Integration complexity; Pricing opacity,Potential supply chain dependencies; Premium pricing model; Legacy system exposure,Subscription/SaaS; Project-based,B,SC-A
VND-0407,BlueCat,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0408,BlueReg Group,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0409,Bluelock,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Star Performer,,,,,,
VND-0410,Bluepoof,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0411,Boston Consulting Group,IT,,United States,Partner-owned partnership,$13.5B (2024); $12.3B (2023),"33,000+",100+,"NA, EMEA, APAC, LATAM",N/A (consulting),Global Fortune 500; government; strategic,IT,#2 global management consulting,"21 consecutive years growth (10% in 2024); 3,000+ AI experts (BCG X); 20% AI revenue→40% by 2026",McKinsey/Bain competition; boutique AI firms; macro consulting headwinds,None significant; strong growth,Engagement-based; $400K+ avg,A,IT-A
VND-0412,Boyds Consultants,CL,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CL,,,,,,,
VND-0413,Brady Technologies,EN,,United Kingdom,Independent,16300000,,5+,EMEA; APAC,ISO 27001; Achilles; Other energy-market certifications,Bruce Power; European utilities; Power traders; IPPs,EN,Niche-moderate,Specialized ETRM/EDM for power and commodities; Strong European market knowledge; Cloud-native SaaS,Small scale vs. major E/CTRM vendors; Limited Americas presence,Small revenue base may constrain R&D; Limited public financial transparency,SaaS/subscription; Per-user and volume-based licensing,C,EN-B
VND-0414,Branch Furniture,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,,,,,,,
VND-0415,Brand New Copy,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0416,Braze,PS,,USA,Public,$190.8M Q3 FY2026,$190.8M ARR,$1.723B ARR,Global,NA/EMEA/APAC,,PS,"2,528 customers; 303 with $500K+ ARR; DocMorris, Fogo de Chão, Gopuff, Wix",Market leader in engagement,"108% net retention, Strong FCF, AI capabilities, 25.5% YoY growth",GAAP net loss despite strong subscription growth; Gross margin compression,Moderate GAAP loss despite strong growth,A,PS-C
VND-0417,Bright Machines,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,Cool Vendor,,,,,,
VND-0418,BrightEdge,PS,,US,NEEDS_RESEARCH,,,,"SOC 2, ISO 27001","Tech, Digital media, E-commerce, Agencies",Leader in SEO/organic search SaaS,PS,"Content performance SaaS, Enterprise customer base, Organic search leadership","SaaS commoditization, Intense competition from Semrush/Moz, Customer acquisition cost pressures",,,,,PS-A
VND-0419,Brightcove,ME,,USA,Acquired by Bending Spoons (Jan 2025),202600000,452-671,3+,North America (Boston); Europe; Asia (partner-based),,Media companies; Enterprise video publishers; Educational institutions; Tech companies,ME,Independent leader -> Acquired (integration risk),Pure-play video platform; No broadcast baggage; SaaS model; Customer focus; Wide adoption,Revenue decline 2022-2024 ($211M-$201M-$184M); Acquired by Bending Spoons (cost-cutting playbook); SMB focus narrowing,Acquisition by Bending Spoons (aggressive cost-cutting known); Layoffs expected,Subscription (per-customer; Premium tier $101.4k annual),C+,ME-A
VND-0420,Bright Star Logistics,SC,,USA,Private,<5000000,2-10,1-2,NA (California focus),,Import/export; Asia-Pacific logistics,SC,Micro Player,Asian network; Multilingual staff (Korean/Chinese),Extremely small scale; Limited service portfolio; Minimal geographic reach,Survival risk,,C,SC-C
VND-0421,Broadcast Management Group,ME,,USA,Private,28100000,61-102,5,Las Vegas NOC; DC; NYC; Chicago; Los Angeles,,Charles Schwab; UBS; VPM (Public Media); Sports teams,ME,Specialized niche player,REMI expertise; Cloud NOC capabilities; Managed services model; 50% YoY growth,Small scale; Limited international; Niche focus (financial/sports/enterprise); REMI market emerging,Rapid growth dependency; Limited diversification,Managed services (fixed + variable); Per-event,B,ME-A
VND-0422,Brownstein Hyatt,PS,,US,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,PS,Leader,"Specialized in government affairs and law, Strong DC presence","Limited scale vs. legacy consulting firms, Narrow service focus",,,,PS-A
VND-0423,Bugcrowd,IT,AI,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,,,,,,,
VND-0424,Bureau Veritas,MO,,France,Public,6240000000,84000,140,EMEA/APAC/NA,ISO 17025; ISO 45001,Global industrial clients,MO,Top TIC provider,Diversified portfolio; Global reach; Compliance expertise,Cyclical exposure; Regulatory dependence,Margin pressure from competition,Project,A,MO
VND-0425,Burton Energy Group,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0426,Business (Unknown),FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,Unknown \- Generic Name,,,Name too generic to identify,,,FR-B
VND-0427,Byte Technology,FR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,FR,,,,,,,
VND-0428,CAMS,EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0429,CAMS (FlexGen),EN,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,EN,Contender,,,,,,
VND-0430,CBRE (Host),FR,,United States,Public,32 Billion (Group),130000 (Group),,Global,SOC 2; ISO 9001,Fortune 500 Offices,FR,Premium workplace experience division of CBRE,Integrated with world's largest CRE firm; Hospitality-led approach,High cost premium; discretionary spend risk,,Management Fee / FTE,A,FR-B
VND-0431,CEB/Gartner,HR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,HR,Star Performer,,,,,,
VND-0432,CEVA,SC,,France,Private (CMA CGM Group),18300000000,110000,1500+,NA/EMEA/APAC/LATAM,ISO 9001; ISO 14001; Temperature control certifications; Food safety certifications,Fortune 500 manufacturing; Retail networks; Food & Beverage industry leaders; Global shippers,SC,Leader - 3PL consolidation; Global scale; Temperature-controlled specialization,Global logistics network; Temperature-controlled expertise; Service breadth; Supply chain agility,Asset-heavy operations; Margin compression risk; Digital transformation lag; Scale complexity,"Asset-based (warehouse/fleet); Service fees; Project-based; Value-add services,A",,,SC-A
VND-0433,CISAC (Rights Mgmt),ME,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,ME,Major Contender,,,,,,
VND-0434,CISAC Societies,ME,,Multiple Countries,Non-profit network,13970000000,,227,Global (228 societies; 116 countries),,Music creators; Publishers; Composers; Songwriters (5M+ collectively),ME,Non-profit collective management network,Global rights network; 99+ year legacy (founded 1926); Unmatched creator reach; Licensing efficiency,AI threat to model (25% royalty diversion projected); Streaming fraud rising; GenAI unregulated,AI content generation could undermine model significantly; Regulatory pressure (EU DSM Directive),Per-use licensing; Percentage of revenue,A,ME-A
VND-0435,CMIT Solutions,MO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,MO,,,,,,,
VND-0436,CRST,SC,,USA,Private,,,60+ warehouses,NA (US/Canada),,,SC,Regional player,"Specialized logistics, white-glove service, 50+ years experience, integrated services",Private equity structure; limited public data; regional focus limits scale,Acquisition integration (Yellow Corp terminals); private equity typical exit risk,"Warehousing/logistics fees, per shipment",B,SC-B
VND-0437,CTG,HR,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,HR,Major Contender,,,,,,
VND-0438,CURTIS Digital,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0439,CVS Caremark,HR,,USA,Public,"$2,700,000,000",12705,Multiple,NEEDS_RESEARCH,"HIPAA, PCI-DSS",,HR,PBM Leader,Part of CVS Health; Largest retail pharmacy; Strong PBM network; Scale advantages,Not an HR tech vendor; PBM/pharmacy-focused; Limited HR platform,Insurance/PBM model; Limited HR innovation; Incumbent risk; Network consolidation,Network-based,A,HR
VND-0440,CX Interglobal,CO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CO,,,,,,,
VND-0441,C\&W (Cushman & Wakefield),FR,,United States,Public,9.5 Billion,52000,400,Global,ISO 9001; ISO 14001,Corporate Occupiers; Investors,FR,Top 3 global real estate services firm,Full service capability; Strong brand; Global platform,High debt load; Exposure to office market downturn,,Commission / Management Fee,B,FR-B
VND-0442,Call Masters BPO,CO,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,CO,,,,,,,
VND-0443,CalypsoAI,AI,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,AI,,,,,,,
VND-0444,Cambridge Proofreading,COP,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,COP,,,,,,,
VND-0445,Candex,SC,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,SC,Emerging,,,,,,
VND-0446,Canon Business Process,FR,,United States,Public (Sub),26 Billion (Group),2000,,NA/APAC,IAOP Global 100; ISO 9001,Law Firms; Insurance; Pharma,FR,Leader in document and business process outsourcing,Backing of Canon; Six Sigma methodology; Technology integration,Declining mail/print volumes,,FTE / Transaction / Managed Service,A,FR-B
VND-0447,Canon Business Process Services,FR,,USA,Subsidiary,0,2000,USA;Philippines,USA;Philippines,BPO,Automotive;Aerospace;Healthcare;Government,FR,BPO Leader,BPO Expertise;Six Sigma,Reporting Confusion,Revenue reporting inconsistency,BPO Outsourcing,A,FR-A
VND-0448,Canonical,IT,,NEEDS_RESEARCH,NEEDS_RESEARCH,,,,NEEDS_RESEARCH,,,IT,Major Contender,,,,,,
VND-0449,Canteen,FR,,USA,Compass Group subsidiary,,,200+,NEEDS_RESEARCH,Foodservice;Workplace Refreshment,Corporate workplaces;Industrial sites,FR,Workplace foodservice leader,Nationwide coverage;Part of Compass Group,Non-core FM (food-centric),Scope mismatch risk,Per-transaction;Contract,B+,FR-A
VND-0450,Canteen (Compass Group),FR,,United States,Public (Sub),2.3 Billion,11000,200,NEEDS_RESEARCH,NAMA Certified,Manufacturing; Tech Campuses,FR,Largest vending and micromarket provider in US,Massive scale; Technology leadership (Connect & Pay); Logistics density,Consumer shift to hybrid work impacts volume,,P\&L / Commission / Subsidy,A,FR-B
